2120	115	5	23.47
101	964	16	21.52
125	572	23	137.25
1389	101	33	120.85
1255	800	6	64.74
7325	101	5	18.67
183	299	4	13.66
183	247	18	103.82
1763	101	8	9.61
7338	102	4	17.39
718	134	3	8.98
272	122	7	12.77
981	117	7	27.32
110	3138	4	17.02
120	958	4	11.82
111	1310	36	265.06
924	723	3	25.55
102	17844	3	22.13
2015	341	3	26.02
153	2033	7	52.25
880	365	3	21.47
138	3165	4	27.03
121	316	4	4.67
346	666	7	57.69
394	485	3	18.48
1614	1861	4	48.92
225	184	4	10.41
1499	103	23	100.28
1275	12	16	29.56
152	121	222	1338.37
697	14	17	17.66
219	517	3	14.23
142	1200	3	13.07
1626	14	6	4.46
186	237	3	7.04
137	223	7	15.47
329	265	5	27.24
246	282	4	17.85
1216	317	8	76.53
15778	12	3	18.35
14804	107	3	23.85
1637	103	13	42.53
4897	12	3	4.49
3928	8436	4	74.99
716	103	23	63.85
1925	12	29	124.46
2502	114	4	16.93
2174	936	3	32.52
1709	180	3	18.34
588	14	13	6.05
3646	106	3	7.27
1512	14	8	8.41
216	801	4	24.27
1332	207	4	27.99
5163	14	4	9.16
2460	120	3	12.95
151	212	13	48.58
7713	12	3	8.24
4049	109	3	12.43
6159	14	4	11.23
12	821	91	483.78
538	103	72	339.7
133	786	14	86.82
1242	12	10	9.95
2460	180	4	30.27
106	3377	5	16.27
118	508	7	19.97
128	121	109	362.41
291	1218	5	41.78
152	1566	3	15.25
3761	106	3	7.54
101	5682	3	5.75
1695	322	3	24.6
169	1397	3	16.62
101	3659	4	5.69
532	1505	19	247.74
105	1202	18	62.02
8	19067	3	36.69
2191	105	4	6.98
107	127	67	76.22
102	3126	4	8.58
107	171	15	6.88
358	146	4	11.29
102	5045	7	32.57
11930	14	3	12.21
441	309	3	16.47
101	9347	5	22.47
107	223	9	4.92
102	2954	12	52.17
105	1306	12	33.48
441	233	4	20.87
8	4879	5	42.1
137	1392	4	19.48
157	2256	5	35.98
1510	625	3	27.75
106	2091	11	41.33
794	2159	3	31.37
7805	5631	8	181.86
172	356	3	9.12
232	2955	3	25.56
602	8414	4	58.4
2085	115	3	11.01
4516	16492	3	64.37
114	208	8	6.2
104	3410	4	10.48
3783	102	4	10.3
2662	102	7	19.73
146	117	18	17.87
12	4519	3	4.16
6234	101	3	6.26
13439	2411	3	55.02
127	2244	7	44.86
4112	224	3	27.77
10989	8570	4	89.55
217	901	4	25.25
309	108	24	71.81
1738	145	22	210.88
193	165	3	4.11
123	848	6	22.41
105	4053	3	7.45
237	174	5	15.05
1411	102	6	7.98
130	634	3	7.01
101	2119	10	19.18
6660	104	3	11.28
2059	108	7	29.74
103	814	9	11.7
284	190	3	8.94
1005	122	3	7.97
1097	193	5	33.77
102	10423	3	13.96
105	10218	3	15.18
1486	209	3	19.97
3021	16258	3	61.21
105	3874	7	29.17
217	645	37	385.13
522	1335	3	25.86
8	315	7	22.42
390	170	9	47.27
722	3766	7	95.59
4533	9473	3	56.05
553	102	11	9.42
6526	12	5	17.2
109	1882	4	12.01
1917	109	9	42.23
5667	750	3	38.68
1428	103	27	126.27
118	201	7	6.72
138	2350	4	24.18
210	12	45	18.71
294	107	20	49.34
744	114	8	25.39
3367	12	4	5.04
580	239	3	15.67
133	1094	3	11.2
16073	12	3	18.35
101	3253	4	4.8
101	5255	3	5.3
106	3631	6	23.05
448	1053	4	34.07
103	2548	3	4.28
448	13078	3	44.83
805	103	12	21.14
102	4790	5	18.29
376	153	4	12.07
203	790	3	15.88
3051	107	4	15.84
2935	12	4	4.02
1355	171	3	16.5
2441	106	4	8.25
107	375	12	24.3
2275	6502	6	105.4
179	302	3	8.47
128	1241	3	10.48
8728	14	5	23.08
104	1094	7	10.03
109	599	7	13.88
141	2086	5	31.57
1924	335	3	25.75
101	2565	6	8.38
7	253	3	4.63
5044	14	3	5.2
6495	12	4	11.58
106	4320	4	13.68
115	184	14	18.98
3982	118	5	32.79
1393	103	18	65.36
215	187	6	20.1
465	103	9	5.22
4629	12	3	4.16
1215	750	3	27.51
104	891	13	28.16
121	517	4	7.71
3396	12	5	8.23
105	230	54	113.8
116	1040	3	7.25
131	251	7	16.61
141	11883	3	30.21
113	3160	5	26.11
840	688	3	24.79
302	417	19	173.05
107	7463	3	16.98
170	738	3	12.83
8014	12	3	8.24
196	136	5	6.48
5314	3509	3	48.24
3329	118	7	47.57
792	494	3	22.57
1122	136	3	11.5
3608	14	6	13.18
562	106	7	4.66
105	6238	6	31.79
143	581	6	26.39
1040	122	3	8.24
368	176	7	33.68
109	2400	3	8.97
101	6976	3	6.84
134	663	10	52.06
125	257	10	25.59
101	634	29	48.63
173	275	10	47.49
2302	108	4	13.51
896	919	87	1645.23
102	1226	39	194.75
1112	108	4	7.97
824	134	5	21.04
9	122	25	36.61
1083	110	4	8.3
3058	104	5	14.1
528	119	5	11.53
126	930	26	188.98
200	390	4	18.01
629	323	14	132.09
450	349	9	72.59
456	115	6	13.18
5689	102	5	20.93
110	979	3	4.25
105	793	14	30.1
168	807	12	86.47
784	104	10	15
2346	102	4	6.2
613	110	11	31.94
2932	4340	4	62.91
550	455	9	80.25
101	5177	5	13.26
1143	113	3	6.3
101	3078	16	64.4
109	101	350	32.91
158	113	118	500.99
1439	104	5	6.7
101	3154	5	7.54
185	256	3	7.37
104	383	12	8.96
1079	12947	3	49.88
8748	570	3	41.04
7	712	3	10.51
101	3002	4	4.07
144	309	3	5.93
323	322	13	103.21
144	233	4	6.96
7644	4221	3	53
730	1017	3	26.15
147	2801	3	18.96
343	997	4	31.23
120	196	8	8.78
363	109	8	11.45
292	4695	3	31.54
3201	14	4	4.92
1687	12	6	4.24
4847	103	8	40.67
1334	14	10	11.92
3309	106	4	10.87
1018	309	3	21.16
167	2878	3	21.15
103	1376	7	12.38
1882	6858	3	45.55
101	333	23	9.61
2155	120	3	11.95
2717	109	3	9.69
6455	12	4	11.58
1708	105	4	5.17
101	6342	5	16.07
5953	14	3	6.08
3822	105	6	22.88
125	768	20	124.9
803	127	3	7.92
6307	107	5	32.17
4221	12	5	10.56
104	2740	3	4.84
134	156	9	10.92
593	116	8	25.85
2329	551	4	42.31
130	1553	19	150.35
101	198	204	579.91
3386	950	4	50.14
547	118	16	73.54
275	794	5	36.29
127	3084	4	23.85
454	3307	3	31.25
606	12	30	49.77
113	106	96	4.4
6852	103	6	32.53
1303	14	10	11.67
213	146	4	6.2
1428	8411	3	46.53
111	686	12	40.62
177	219	6	18.97
105	5204	3	9.27
117	2801	3	13.21
123	389	5	10.14
4861	14	3	4.83
138	499	3	7.45
1813	109	4	11.68
101	1605	9	11.08
112	522	5	8.09
764	109	5	8.98
4188	12	4	6.74
2101	106	3	3.91
103	156	60	45.61
3154	14	5	8.05
488	12	27	30.83
904	14	9	4.69
194	216	3	7.11
12	4898	6	17.37
366	3208	5	55.22
297	1284	4	32.14
101	1401	36	142.25
381	235	3	13.19
348	618	4	27.89
699	292	4	27.16
105	2015	5	9.81
105	8162	3	12.99
123	4925	4	27.33
122	1442	4	15.57
1076	429	3	23.56
150	245	3	4.51
9350	145	3	28.34
1956	134	4	22.04
1038	101	10	7.54
5785	101	3	5.75
8187	163	3	29.46
231	112	11	14.86
2379	102	5	9.69
6134	4353	5	92.15
1129	119	3	8.18
101	5889	4	10.01
