107	10283	4	7.02
1670	798	4	18.29
894	3754	4	25.93
403	516	6	11.43
312	9208	7	66.8
103	1765	27	7.44
241	845	12	35.33
562	9245	4	33.45
310	1787	3	7.42
185	2360	4	7.02
105	9198	6	7.79
356	778	4	7.19
1455	516	3	8.41
118	6224	5	11.37
125	572	38	66.48
1215	2355	5	33.6
101	964	66	8.2
1389	101	52	17.91
157	5560	3	7.34
7577	137	3	8.46
1041	1235	5	24.18
427	5148	14	143.03
838	1120	3	9.69
1255	800	7	36.85
148	477	18	16.05
848	1615	3	11.85
7022	157	4	15.62
7927	115	8	37.12
469	6251	10	104.51
104	2436	23	13.16
1277	16	15	23.83
2243	128	9	12.29
1383	586	3	8.9
146	1562	8	10.48
587	18764	3	32.34
6267	101	11	11.04
14237	3983	4	59.81
539	5108	3	17.48
10870	625	5	54.67
17636	114	3	12.59
6323	113	5	7.44
16	2389	7	10.24
16947	18170	3	61.25
7325	101	9	9.03
1162	1254	3	11.94
110	15164	3	11.01
12920	2757	4	57.04
114	7611	9	37.78
534	2094	4	16.52
375	1337	3	6.85
451	11516	3	24.37
322	306	16	37.47
1531	388	4	11.89
421	984	4	9.73
509	261	8	11.41
106	606	65	12.87
19006	19005	3	61.25
183	247	36	53.24
797	655	5	16.01
103	1689	28	7.56
1074	301	4	7.66
9694	192	3	15.9
223	257	15	13.92
1452	1423	3	14.02
295	275	10	11.48
1376	1651	3	15.03
114	1479	14	6.77
3704	641	3	16.22
251	224	15	14.15
4760	241	3	11.68
942	199	8	14.17
14	115	2891	27.99
1210	115	20	20.38
106	13141	4	8.82
1422	18844	3	37.43
3185	122	7	8.47
180	2448	8	24.92
335	15675	3	29.36
556	597	4	8.05
312	2685	3	9.54
4771	104	11	8.2
594	197	9	11.26
15346	12614	3	56.75
830	101	78	15.06
272	122	39	6.72
8	1235	9	8.81
351	149	16	9.36
4613	17594	3	45.81
180	2508	4	7.11
929	1855	3	13.41
1516	500	5	19.49
1256	593	3	8.71
981	117	25	28.32
110	3138	10	10.56
5059	101	13	7.7
2071	151	8	15.03
155	16943	3	20.56
700	823	3	7.21
2156	193	4	9.01
3269	193	4	12.74
175	5554	3	8.87
104	8446	6	7.13
103	12202	5	9.99
5676	3949	3	31.19
1492	700	5	22.6
2693	12626	4	56.09
135	6466	3	6.93
111	1310	37	57.69
13824	155	3	16.13
528	434	5	8.85
510	1061	4	11.08
456	2219	6	30.44
5354	1332	5	44.59
924	723	3	7.92
5545	669	3	19.03
217	1723	4	7.81
14	227	417	13.48
282	2191	38	357.57
2015	341	3	8.07
977	306	4	6.93
3381	241	3	10.55
13752	151	4	26.52
2414	386	4	16.43
9665	856	6	69.55
153	2033	10	25.8
380	1477	4	12.01
880	365	5	11.62
351	6470	3	17.99
788	678	3	6.72
685	439	7	19.85
2211	9076	3	32.64
110	4981	7	8.71
374	2089	3	9.36
500	399	8	19.31
209	13955	4	33.27
5641	2077	4	38.53
138	3165	7	14.94
4028	4647	15	230.92
1553	656	5	21.88
4342	3943	3	29.97
826	3210	3	16.41
3914	4221	3	29.34
136	7167	4	15.12
219	465	8	7.96
737	1101	3	8.7
426	1469	3	7.84
101	2234	32	12.12
2336	10467	3	32.46
10858	103	5	9.99
214	3887	3	8.77
7	404	15	13.52
346	666	8	21.96
223	2959	3	7.39
13415	106	4	8.82
16	610	18	13.14
14702	1546	3	33.58
2727	219	3	6.64
178	5829	3	9.3
921	105	51	17.95
4056	150	4	8.04
295	3153	3	10.53
121	212	59	10.26
8189	123	4	9.95
281	166	16	6.7
1914	105	24	7.92
394	485	7	14.03
1614	1861	3	17.45
110	12851	3	6.86
813	158	9	8.9
2993	483	3	12.58
5652	121	5	9.46
477	476	5	8.97
5229	2712	5	51.7
8041	114	8	33.58
1499	103	32	10.3
583	2451	3	12.33
806	1551	3	11.41
567	103	85	29.21
468	1207	3	7.14
352	896	4	7.72
5723	109	8	14.79
6113	1121	3	23.2
1034	582	3	7.53
865	178	8	9.12
4306	7679	3	34.82
632	515	6	17.22
1064	200	5	7.01
281	12	212	17.75
1822	857	3	12.76
291	531	8	14.58
176	1584	5	6.63
152	121	320	427.29
399	216	11	13.08
1169	495	3	7.44
18335	195	3	24.14
2727	123	7	6.83
251	3040	14	89.75
128	1566	12	14.36
205	107	122	16.26
835	770	3	7.91
855	571	3	7.75
3617	945	3	18.03
806	1611	3	11.74
2792	359	3	11.11
286	2553	3	8.58
441	1378	3	7.5
1523	7441	3	26.64
604	10534	4	36.21
660	6010	3	20.52
9858	135	3	10.45
1289	1462	3	13.83
269	1334	4	7.97
11019	106	5	11.02
329	265	8	6.99
105	364	104	16.38
