2561	101	4	4.7
219	209	91	910.62
1384	101	9	13.21
465	101	20	18.89
393	111	112	784.71
954	106	7	16.72
5324	101	4	11.26
1863	45	3	17.95
132	2316	3	16.29
246	8	6	9.12
136	693	4	15.01
116	6367	4	27.49
197	352	4	19.16
219	252	10	60.75
7	2566	8	26.55
1347	1712	3	36.76
141	247	14	60.48
161	1017	3	16.56
604	395	6	52.59
3728	101	4	7.67
3672	111	3	12.21
196	138	23	98.67
1758	101	5	4.67
339	106	9	8.34
114	5403	4	24.68
3071	108	6	29.02
1674	156	3	18.92
98	1520	12	28.43
7175	101	4	14.32
16	423	5	16.71
128	3944	11	106.86
101	4221	4	8.64
118	311	9	17.45
626	6519	4	58.3
106	1719	12	57.07
166	273	7	31.65
103	4620	4	16.78
2427	14	8	20.55
107	7012	3	15.94
130	2337	18	171.95
101	2380	5	7.1
4077	115	3	14.8
1270	12	11	17.75
479	201	3	14.9
101	2304	6	10.07
2722	120	7	44.45
3257	12	6	14.59
202	1011	3	19.46
133	219	26	114.59
102	360	11	6.52
2300	107	5	17.93
2825	14	5	9.76
706	1611	5	59.09
193	1184	6	49.3
1314	1225	5	63.02
655	117	3	4.08
711	14	9	5.42
563	902	4	38.52
935	12	8	5.03
879	113	3	4.79
3049	12	9	28.05
5030	109	7	48.29
3570	120	7	49.31
2398	14	5	8.29
458	109	10	21.23
129	833	3	9.37
6658	12	5	20.59
106	947	29	156.67
1449	122	5	22.06
116	3688	4	21.42
103	3296	7	32.31
533	14	14	10.73
4479	113	5	30.29
2626	122	6	36.85
1237	12	11	17.03
197	4130	3	28.92
200	129	86	539.45
4263	14	3	5.77
861	246	3	21.09
115	6512	3	18.27
239	995	4	30.52
148	1441	6	42.82
159	516	4	18.67
2792	14	5	9.76
1141	107	3	4.06
4139	12	3	4.64
437	229	4	22.84
552	239	3	17.46
128	427	12	52.47
103	2026	6	18.42
7	3253	9	38.32
121	370	9	23.93
7	5246	6	27.81
102	16147	3	22.87
103	8097	3	14.96
815	159	4	22.54
361	111	6	5.11
249	139	4	7.75
5359	101	7	29.79
107	5475	3	13.7
4369	101	6	19.18
2176	4505	3	47.06
111	996	10	36.65
203	612	3	16.32
1228	639	3	29.81
9884	116	5	49.74
4528	4853	7	141.98
7	9772	4	23.51
812	2620	6	82.12
1175	2	4	9.98
109	467	7	10.71
111	860	4	6.85
1641	104	3	4.58
1789	101	7	10.63
104	1230	6	13.31
796	101	50	199.57
120	843	5	15.71
98	198	459	2686.58
8188	111	3	18.3
143	428	18	113.65
106	2623	4	13.4
9672	9	3	26.7
190	642	5	32.29
12	4257	3	5.01
102	10057	3	16.23
107	5218	5	28.99
5253	164	5	53.51
4024	16043	3	65.6
2450	111	3	9.41
3516	101	8	26.28
537	101	34	70.64
4483	114	3	14.86
132	3336	4	27.48
949	162	3	16.31
204	126	6	6.87
101	1978	11	28.86
259	114	9	11.04
141	1219	8	54.06
6366	101	3	7.87
7	3510	9	39.59
106	2419	5	18.24
102	3869	5	18.73
109	214	12	8.62
7	9414	4	20.93
267	1237	4	34.17
199	2586	5	48.29
493	227	7	49.55
270	2	7	5.49
618	111	6	10.66
906	114	4	8.85
108	4082	3	12.16
206	163	5	13.91
12	17306	3	18.54
1136	12	7	4.97
1192	113	13	65.33
4365	14	4	9.97
206	12	67	62.87
927	152	11	84.13
3362	12	5	10.3
12	7081	3	8.42
347	9980	3	42.26
275	697	4	29.62
115	316	8	12.06
667	327	6	51.16
402	369	5	36.54
115	248	48	207.02
12556	103	3	19.92
107	8144	3	16.94
553	719	3	25.59
2714	117	16	129.81
131	4146	10	96.96
12	13016	4	24.72
828	134	9	51.43
274	479	6	44.92
139	884	5	25.14
111	2384	4	14.54
4747	113	4	22.81
6013	14	3	7.78
102	1496	17	71.18
1088	12	7	4.66
107	14051	3	26.4
105	541	5	4.19
1016	113	5	13.81
127	1527	4	19.33
1458	112	3	6.88
9123	37	6	82.05
1043	3842	4	57.01
101	9715	4	20.14
13066	102	3	18.41
127	1475	3	12.51
98	2866	4	6.4
108	1277	4	8.62
175	297	7	34.96
101	2635	7	15.81
479	396	5	39.6
106	2050	7	27.99
7	17447	3	21.34
101	4656	3	5.64
102	10631	3	16.23
156	10368	3	33.41
3614	14	3	4.72
132	844	3	10.07
9764	5590	4	86.71
103	2344	9	38.65
4398	14	3	5.77
175	12	45	7.11
103	2276	10	44.59
3066	590	3	35.33
106	1974	5	15.9
114	1685	9	45.56
104	5045	5	25.29
102	277	60	178.16
165	102	83	135.17
109	5723	4	23.51
114	1837	5	20.2
3324	115	3	13.29
1754	14	5	5.45
1444	12809	3	53.8
335	107	21	49.76
109	5775	6	41.9
557	103	40	171.48
969	105	5	8.9
127	203	5	4.59
8233	14	3	10.2
108	566	22	83.7
419	104	13	20.42
3014	119	3	13.71
112	1168	3	5.66
3485	101	5	11.21
4560	139	3	23.1
146	169	18	65.76
566	101	13	8.12
128	10269	5	57.58
101	6894	3	8.65
3195	508	5	63.61
107	2394	10	51.94
116	480	17	65.87
170	330	7	35.4
102	15119	3	22.87
328	984	3	23.81
4605	4696	4	73.08
4205	116	3	14.99
735	121	4	10.11
237	2	8	4.92
791	104	6	8.7
104	144	101	162.54
104	6317	3	13.56
651	111	5	7.83
111	1939	4	13
707	101	37	107.34
8254	104	3	15.39
400	853	5	45.97
8075	101	3	9.59
98	1341	9	14.23
1323	249	3	23.82
7469	8330	5	115.46
102	2977	4	10.8
226	1089	3	21.12
164	12479	3	36.69
102	788	46	232.26
133	930	6	30.15
1003	101	10	11.03
5808	101	3	7.2
123	2648	9	63.85
102	736	18	48.43
1160	116	3	6.99
127	709	6	24.28
104	2618	4	11.79
111	3872	6	34.59
102	616	9	10.33
151	5384	3	26.93
656	128	9	42.5
1210	101	6	3.91
389	734	3	23.14
1506	139	3	15.24
546	8	5	14.04
125	3709	7	56.21
144	655	4	17.03
12	1253	11	17.39
39	9397	5	60.06
291	281	3	15.05
541	246	4	26.27
102	4636	4	14.84
117	275	7	8.26
104	645	37	168.87
2606	107	3	8.59
506	102	10	9.99
208	172	5	15.28
881	134	8	44.8
111	1509	4	10.85
1477	107	4	9.05
203	1194	3	20.53
420	577	3	22.21
737	105	9	20.89
120	1204	10	52.58
180	143	8	18.98
256	2179	3	27.35
15480	37	3	41.02
101	6380	3	7.87
107	2964	8	41.9
136	442	4	11.5
112	1677	5	17.63
262	2882	3	29.46
161	315	18	118
204	2061	3	24.13
101	125	186	38.66
106	5767	3	14.09
148	2263	5	38.91
346	157	5	20.46
1516	113	3	7.66
417	118	5	7.65
144	4473	4	34.1
106	5827	6	38.9
3431	12	5	10.84
1456	105	3	4.95
7659	14	3	10.2
489	137	5	18.51
4044	1175	4	58.67
2635	107	3	8.59
123	1112	3	8.74
134	817	16	110.26
4564	103	3	10.69
102	5349	3	10.33
209	143	5	9.35
117	1606	4	14.15
105	2269	3	7.39
360	271	3	15.87
326	6757	8	129.46
131	1675	6	35.99
102	5197	4	16.38
203	356	4	19.25
102	3236	7	28.04
103	1182	11	35.1
7406	12	4	15.44
115	2436	12	81.69
102	9543	3	16.23
1808	107	4	10.66
106	5174	3	13.44
3550	105	4	15.96
1607	12	7	8.67
4469	14	4	9.97
143	940	6	34.63
448	118	6	12.08
101	1548	17	50.21
377	105	10	12.58
7	6192	6	31.4
1427	105	3	4.84
7	4017	10	52.33
135	411	7	25.7
116	1634	9	46.82
8449	14754	3	72.29
115	4609	3	15.74
101	1396	6	5.16
128	684	5	18.19
347	5700	3	36.78
7	11648	3	16.9
104	3269	4	14.02
133	1700	3	14.75
7008	139	3	26.54
2095	101	5	5.99
7491	9486	5	120.86
282	123	16	52.07
187	881	3	18.2
199	116	9	6.24
13005	101	3	14.38
1083	4978	3	42.99
13329	39	3	34.78
2354	101	11	32.91
789	2	6	14.97
621	128	3	7.55
144	1991	3	18.11
3284	101	6	15.05
184	2720	4	36.15
1609	126	3	12.88
12	558	23	32.28
2002	116	3	10.15
102	1635	23	119.92
114	235	11	12.82
108	6	3	7.82
109	2144	9	46.01
104	5639	3	12.83
3997	5	3	22.86
1534	2	3	7.42
3803	186	3	27.95
4053	101	3	4.85
124	591	5	14.44
111	2717	7	36.18
884	101	22	50.6
144	12136	4	50.82
177	123	33	100.9
114	110	183	180.8
245	1021	3	21.9
388	4610	4	50.29
115	1016	10	43.15
115	1084	5	15.3
120	8942	4	34.24
9236	111	3	19.52
12	104	661	23.13
160	121	12	9.91
3238	111	5	24.1
129	130	129	512.21
7	1607	30	163.88
265	101	100	264.07
115	912	38	272.23
337	111	8	9.13
5527	101	4	11.26
12	156	203	342.95
357	869	4	34.02
5707	104	3	12.83
7634	101	3	9.59
120	181	10	10.08
536	140	4	14.28
1564	107	4	9.55
111	559	21	83.36
1867	12	10	21.68
98	760	87	528.82
5392	132	3	22.37
2720	12	5	8.1
1695	105	3	5.79
108	3384	3	10.69
120	332	17	58.92
111	10403	3	21.09
2358	14	7	15.55
201	3361	3	27.4
118	3390	5	29.25
195	1189	3	20.38
103	1572	6	15.3
106	4747	3	12.34
101	1142	15	31
406	113	11	25.81
351	12	35	42.82
118	5443	6	46.07
103	1512	4	6.94
1577	105	3	5.29
653	152	14	103.3
135	160	15	34.44
7524	14	3	10.2
136	1459	8	54.11
106	2830	4	14.07
103	1360	20	96.34
109	1647	14	76.9
453	1475	3	28.88
220	342	7	42.5
45	264	4	9.78
131	656	19	120.96
101	10546	4	20.14
1267	206	5	40.42
420	147	3	8.82
220	493	4	23.31
104	7084	5	30.88
12	10189	4	19.81
7927	14	5	24.19
12	3873	13	65.17
6343	12	3	7.64
190	1227	5	39.29
1394	197	4	30.92
136	6345	3	24.73
5410	12	3	6.39
101	582	38	94.23
12	3669	3	4
17	129	10	44.89
380	12	57	129.5
107	4700	4	19.37
106	4102	7	40.45
102	939	34	160.11
2082	104	3	5.84
1501	2	3	7.3
1974	101	16	54.83
216	159	6	19.07
669	204	13	112.43
849	101	17	29.36
5962	101	3	7.2
102	871	8	12.53
4836	101	3	6.1
124	1203	6	28.36
108	764	5	8.14
133	673	10	53.74
108	720	9	22.95
101	9082	4	17.6
98	3276	14	68.8
101	9158	5	26.01
779	347	3	22.94
7	12652	3	16.9
101	2742	6	12.2
4965	106	5	27.43
106	1146	21	107.09
101	4735	3	5.64
562	668	4	35.88
106	1281	15	68.48
107	6502	3	15.09
2155	101	5	6.25
3273	101	4	6.84
101	476	33	60.35
1286	101	6	4.34
236	111	17	25.19
2295	104	3	6.37
292	101	65	132.75
435	126	6	18.06
7134	106	3	15.67
407	108	113	769.01
7	3095	3	5.42
107	4717	4	19.37
101	432	26	31.28
445	347	3	19.35
266	425	5	33.44
115	3559	12	95.74
456	128	5	14.47
1976	111	3	8.09
1904	101	5	5.29
7	14997	3	21.34
107	9216	3	18.15
104	853	4	3.85
253	45	3	5.62
4906	101	3	6.1
4225	2	3	13.82
111	1217	4	9.24
120	1384	14	88.26
104	1057	15	56
7	8983	3	13.2
124	4005	3	18.13
127	2130	4	22.21
105	5255	3	13.31
646	253	3	19.33
112	3225	5	24.92
7	6438	4	16.38
1344	255	3	24.13
115	1687	3	8.86
